country,country_id
Afghanistan,0
Angola,1
Albania,2
Andorra,3
United Arab Emirates,4
Argentina,5
Armenia,6
American Samoa,7
Antigua and Barbuda,8
Australia,9
Austria,10
Azerbaijan,11
Burundi,12
Belgium,13
Benin,14
Burkina Faso,15
Bangladesh,16
Bulgaria,17
Bahrain,18
Bosnia and Herzegovina,19
Belarus,20
Belize,21
Bermuda,22
Bolivia,23
Brazil,24
Barbados,25
Bhutan,26
Botswana,27
Central African Republic,28
Canada,29
Switzerland,30
Chile,31
China,32
Cote d'Ivoire,33
Cameroon,34
Colombia,35
Comoros,36
Costa Rica,37
Cuba,38
Cyprus,39
Germany,40
Djibouti,41
Dominica,42
Denmark,43
Dominican Republic,44
Algeria,45
Ecuador,46
Eritrea,47
Spain,48
Estonia,49
Ethiopia,50
Finland,51
Fiji,52
France,53
Gabon,54
United Kingdom,55
Georgia,56
Ghana,57
Guinea,58
Guinea-Bissau,59
Equatorial Guinea,60
Greece,61
Grenada,62
Greenland,63
Guatemala,64
Guam,65
Guyana,66
Honduras,67
Croatia,68
Haiti,69
Hungary,70
Indonesia,71
India,72
Ireland,73
Iraq,74
Iceland,75
Israel,76
Italy,77
Jamaica,78
Jordan,79
Japan,80
Kazakhstan,81
Kenya,82
Cambodia,83
Kiribati,84
Kuwait,85
Lebanon,86
Liberia,87
Libya,88
Sri Lanka,89
Lesotho,90
Lithuania,91
Luxembourg,92
Latvia,93
Morocco,94
Monaco,95
Moldova,96
Madagascar,97
Maldives,98
Mexico,99
Marshall Islands,100
North Macedonia,101
Mali,102
Malta,103
Myanmar,104
Montenegro,105
Mongolia,106
Northern Mariana Islands,107
Mozambique,108
Mauritania,109
Mauritius,110
Malawi,111
Malaysia,112
Namibia,113
Niger,114
Nigeria,115
Nicaragua,116
Netherlands,117
Norway,118
Nepal,119
Nauru,120
New Zealand,121
Oman,122
Pakistan,123
Panama,124
Peru,125
Philippines,126
Palau,127
Papua New Guinea,128
Poland,129
Puerto Rico,130
Portugal,131
Paraguay,132
Qatar,133
Romania,134
Rwanda,135
Saudi Arabia,136
Sudan,137
Senegal,138
Singapore,139
Solomon Islands,140
Sierra Leone,141
El Salvador,142
San Marino,143
Somalia,144
Serbia,145
South Sudan,146
Sao Tome and Principe,147
Suriname,148
Slovenia,149
Sweden,150
Eswatini,151
Seychelles,152
Chad,153
Togo,154
Thailand,155
Tajikistan,156
Turkmenistan,157
Tonga,158
Trinidad and Tobago,159
Tunisia,160
Tuvalu,161
Tanzania,162
Uganda,163
Ukraine,164
Uruguay,165
United States,166
Uzbekistan,167
Vietnam,168
Vanuatu,169
Samoa,170
South Africa,171
Zambia,172
Zimbabwe,173
Venezuela,174
Czech Republic,175
Taiwan,176
Slovakia,177
South Korea,178
Russia,179
North Cyprus,180
Kosovo,181
Hong Kong,182
Turkey,183
Kyrgyzstan,184
Somaliland region,185
Macedonia,186
Laos,187
Swaziland,188
Palestinian Territories,189
Iran,190
Congo (Kinshasa),191
Egypt,192
Yemen,193
Congo (Brazzaville),194
Ivory Coast,195
Syria,196
